Код номенклатуры,Описание товара,Местоположение,Доступно
80271486,Контейнер д/стирального порошка 493  5 л  белый,012_825-13-05-2,4
80271486,Контейнер д/стирального порошка 493  5 л  белый,012_825-14-05-0,9
80332354,Чистящее средство д/ван. комнаты GRASS Gloss 221600  600 мл,012_825-11-07-0,12
80358755,Губки для посуды Perfect house Intensive  4 шт.  чёрный/бежевый,012_825-11-06-2,7
80387613,Скребок д/окна с щёткой MITTE 21HDL0115-02  белый/серый,012_825-14-02-1,8
80410710,Набор губок для посуды Perfect house Antibac 7613PH  4 шт.  розовый/сиреневый,012_825-11-05-2,33
80410712,Набор губок для посуды Perfect house Fibra Strong 405831PH  5 шт.  сиреневый,012_825-11-06-2,24
80422162,Набор вешалок для одежды MITTE Nature MC011W-4  4 шт.  белый,012_825-13-01-2,24
80531678,Гель для стирки БОЛЬШАЯ СТИРКА UNIVERSAL 2 в 1  1 2 кг (концентрат),012_825-11-06-1,6
