Код номенклатуры,Описание товара,Местоположение,Доступно
80066162,Вешалка напольная POWER CH-4217-SL  серебряный,012_825-13-06-1,7
80293082,Вешалка с полкой настенная ВСП 7 Ч  чёрный,012_825-13-05-1,3
80304852,Вешалка напольная MITTE Munich DC-234S  чёрный/хром,012_825-13-05-1,6
80342711,Вешалка напольная MITTE Gollin DC-233U  серый,012_825-13-03-1,8
80423711,Вешалка костюмная Слуга-2  венге,012_825-13-05-1,1
80438975,Вешалка костюмная Слуга №1 ВНП 34 М  медный антик,012_825-13-03-2,2
80438976,Вешалка костюмная Слуга №1 ВНП 34 Ч  чёрный,012_825-13-02-2,2
80438978,Вешалка костюмная Стиль 3 ВНП 300 М  медный антик,012_825-13-05-1,1
80438979,Вешалка костюмная Стиль 3 ВНП 300 Ч  чёрный,012_825-13-05-1,1
80440877,Вешалка гардеробная напольная Радуга 1 ВНП 298 Б  белый,012_825-13-06-1,2
80444945,Вешалка с полкой настенная Эра 5 ВСП 278  белый,012_825-13-02-1,6
